Metric,Test,Comparison,MeanDifference,CI95Low,CI95High,RawP,AdjustedP
Mean,Friedman across five policies,"100, 90, 80, 70, 60",,,,5.580169623940864e-24,5.580169623940864e-24
Mean,Paired mean permutation vs 100%,90% minus 100%,9.16113316822938,7.106590452585429,11.553569678336805,4.9999750001249995e-06,1.9999900000499998e-05
Mean,Paired mean permutation vs 100%,80% minus 100%,20.566763113073307,15.83209870702717,26.05979485561767,4.9999750001249995e-06,1.9999900000499998e-05
Mean,Paired mean permutation vs 100%,70% minus 100%,33.7813138420437,26.17480717015315,42.74961964459567,4.9999750001249995e-06,1.9999900000499998e-05
Mean,Paired mean permutation vs 100%,60% minus 100%,49.1201930766359,38.264018081150944,61.65924940193945,4.9999750001249995e-06,1.9999900000499998e-05
CV,Friedman across five policies,"100, 90, 80, 70, 60",,,,0.010033682775965298,0.010033682775965298
CV,Paired mean permutation vs 100%,90% minus 100%,-0.5675040783498337,-1.2166537873731569,0.19610677738335036,0.1347843260783696,0.5391373043134784
CV,Paired mean permutation vs 100%,80% minus 100%,-0.7501517494675874,-2.0802356598536567,0.7188589632584916,0.3138634306828466,0.5833920830395848
CV,Paired mean permutation vs 100%,70% minus 100%,-1.3099525090212205,-3.1337728744448063,0.6501680789284442,0.1944640276798616,0.5833920830395848
CV,Paired mean permutation vs 100%,60% minus 100%,-1.6752318025611457,-4.041462198729266,0.9432002916388132,0.21432892835535822,0.5833920830395848
GMI,Friedman across five policies,"100, 90, 80, 70, 60",,,,5.580169623940864e-24,5.580169623940864e-24
GMI,Paired mean permutation vs 100%,90% minus 100%,0.21913430538404677,0.17034402299442014,0.276057121766152,4.9999750001249995e-06,1.9999900000499998e-05
GMI,Paired mean permutation vs 100%,80% minus 100%,0.4919569736647136,0.3801959107002061,0.6193856874721612,4.9999750001249995e-06,1.9999900000499998e-05
GMI,Paired mean permutation vs 100%,70% minus 100%,0.8080490271016854,0.6266518818755189,1.0197129987786842,4.9999750001249995e-06,1.9999900000499998e-05
GMI,Paired mean permutation vs 100%,60% minus 100%,1.1749550183931308,0.915521753306503,1.4698236340747803,4.9999750001249995e-06,1.9999900000499998e-05
TIR,Friedman across five policies,"100, 90, 80, 70, 60",,,,2.741419095875619e-15,2.741419095875619e-15
TIR,Paired mean permutation vs 100%,90% minus 100%,-1.7717911877394652,-3.6520713601532604,-0.3055555555555581,0.030649846750766246,0.030649846750766246
TIR,Paired mean permutation vs 100%,80% minus 100%,-7.820641762452109,-12.566552921455939,-3.6520414272030677,0.0010149949250253748,0.0020299898500507497
TIR,Paired mean permutation vs 100%,70% minus 100%,-16.35153256704981,-23.950784243295022,-9.44531250000001,2.9999850000749997e-05,8.999955000224999e-05
TIR,Paired mean permutation vs 100%,60% minus 100%,-25.678879310344822,-34.812535919540224,-17.386111111111124,4.9999750001249995e-06,1.9999900000499998e-05
TBR,Friedman across five policies,"100, 90, 80, 70, 60",,,,1.1612008554515873e-22,1.1612008554515873e-22
TBR,Paired mean permutation vs 100%,90% minus 100%,-1.6379310344827587,-2.104897030651341,-1.203065134099617,4.9999750001249995e-06,1.9999900000499998e-05
TBR,Paired mean permutation vs 100%,80% minus 100%,-2.8405172413793105,-3.705232279693487,-2.033997844827587,4.9999750001249995e-06,1.9999900000499998e-05
TBR,Paired mean permutation vs 100%,70% minus 100%,-3.6688218390804592,-4.86999521072797,-2.5838122605363987,4.9999750001249995e-06,1.9999900000499998e-05
