Metric,Comparison,MeanDifference,CI95Low,CI95High
TIR,90% minus 100%,-1.907407407407409,-3.3812307098765486,-0.6589313271604937
TIR,80% minus 100%,-8.741512345679011,-13.57255015432099,-4.502237654320991
TIR,70% minus 100%,-17.66820987654321,-25.60750385802469,-10.486111111111109
TIR,60% minus 100%,-27.827932098765434,-37.043981481481474,-19.38649691358025
TBR,90% minus 100%,-1.4189814814814814,-1.888888888888889,-0.9776234567901236
TBR,80% minus 100%,-2.2970679012345676,-3.1990740740740744,-1.4999807098765447
TBR,70% minus 100%,-2.9984567901234565,-4.2484567901234565,-1.8858024691358026
TBR,60% minus 100%,-3.000771604938271,-4.345679012345679,-1.8788580246913578
TBR_<54,90% minus 100%,-0.30478395061728397,-0.5509259259259258,-0.12114197530864197
TBR_<54,80% minus 100%,-0.4791666666666667,-0.888888888888889,-0.17436342592592757
TBR_<54,70% minus 100%,-0.5509259259259259,-1.0046296296296295,-0.20756172839506173
TBR_<54,60% minus 100%,-0.54320987654321,-0.9961612654320988,-0.17901234567901234
TAR,90% minus 100%,3.326388888888889,2.131114969135802,4.831018518518518
TAR,80% minus 100%,11.038580246913577,7.069444444444445,15.638155864197529
TAR,70% minus 100%,20.666666666666664,13.97445987654321,28.2054398148148
TAR,60% minus 100%,30.828703703703706,22.81531635802469,39.81099537037036
