Feature,Spearman_rho,P
Pre-Ramadan LBGI,0.5328142380422692,0.002434695615550987
Pre-Ramadan TIR,-0.5190211345939933,0.003294338555783676
Pre-Ramadan TBR,0.507007786429366,0.0042442269031264315
ISF,-0.4909899888765294,0.005868586082908784
Pre-Ramadan CV,0.4451612903225806,0.013698440318377011
Pre-Ramadan TBR <54,0.44475273493329864,0.013795548049746469
ICR,-0.42114806244338787,0.020466376558706496
Pre-Ramadan HBGI,0.3913236929922136,0.03248410672971307
Total daily insulin,0.26896551724137935,0.15065332474676146
Pre-Ramadan GMI,0.22091212458286985,0.24074183075197952
Basal rate,-0.06162402669632924,0.7463209997659643
