Metric,Comparison,MeanDifference,CI95Low,CI95High,RawP,AdjustedP
TIR,90% minus 100%,-1.9204980842911896,-3.7215956257982135,-0.46884977650064236,0.014799926000369999,0.014799926000369999
TIR,80% minus 100%,-8.010296934865899,-12.749658764367817,-3.8431034482758686,0.0005999970000149999,0.0011999940000299999
TIR,70% minus 100%,-16.43877713920817,-24.17316211685824,-9.54341075989783,1.4999925000374999e-05,4.4999775001124996e-05
TIR,60% minus 100%,-25.774026181353772,-35.043919620051085,-17.36437978927204,4.9999750001249995e-06,1.9999900000499998e-05
TBR,90% minus 100%,-1.6131066411238824,-2.0503751596424014,-1.2086486270753516,4.9999750001249995e-06,1.9999900000499998e-05
TBR,80% minus 100%,-2.8429916985951467,-3.670500079821201,-2.050361190932312,4.9999750001249995e-06,1.9999900000499998e-05
TBR,70% minus 100%,-3.6513409961685834,-4.79271232439336,-2.5911538154533846,4.9999750001249995e-06,1.9999900000499998e-05
TBR,60% minus 100%,-4.052761813537677,-5.475656529374202,-2.804595705619412,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,90% minus 100%,-0.5197158365261814,-0.8164152298850573,-0.27658045977011503,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,80% minus 100%,-0.8409163473818645,-1.3969628033205617,-0.4207355523627077,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,70% minus 100%,-1.0165229885057472,-1.734913793103448,-0.48618295019157165,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,60% minus 100%,-1.0799808429118771,-1.8390884418901658,-0.5132423371647516,4.9999750001249995e-06,1.9999900000499998e-05
TAR,90% minus 100%,3.5336047254150706,2.2069524265644955,5.2170358397190295,4.9999750001249995e-06,1.9999900000499998e-05
TAR,80% minus 100%,10.853288633461045,7.024890245849297,15.214240102171129,4.9999750001249995e-06,1.9999900000499998e-05
TAR,70% minus 100%,20.090118135376756,13.684291187739465,27.224702666028094,4.9999750001249995e-06,1.9999900000499998e-05
TAR,60% minus 100%,29.82678799489144,21.972284083652617,38.532191890166025,4.9999750001249995e-06,1.9999900000499998e-05
RescueCorrections,90% minus 100%,2.264367816091954,0.8620689655172413,4.149425287356322,0.0005999970000149999,0.0005999970000149999
RescueCorrections,80% minus 100%,6.482758620689654,3.1264367816091956,10.27586206896552,0.00023999880000599998,0.00047999760001199996
RescueCorrections,70% minus 100%,11.471264367816092,6.32183908045977,17.448275862068964,4.9999750001249995e-06,1.9999900000499998e-05
RescueCorrections,60% minus 100%,20.494252873563216,12.25258620689655,30.034770114942503,4.9999750001249995e-06,1.9999900000499998e-05
